vertices,edges,uniform,skewed,normal
100,67,125,153
200,226,659,571
300,491,1751,1342
400,888,3690,2393
500,1398,6870,3891
600,2058,11421,5486
700,2748,18163,7442
800,3678,26946,9786
900,4068,37102,12663
1000,4961,50353,15903
1100,7594,66136,20543
1200,7330,82755,23601
1300,9052,104671,28187
1400,10860,128834,32923
1500,12895,159347,38045
1600,15246,192953,43656
1700,16952,231475,50927
1800,20949,268055,56596
1900,22972,333651,69355
2000,30115,364252,70921
2100,31178,437509,90437
2200,36948,484942,91086
2300,40310,557595,95041
2400,41314,623440,111746
2500,45573,723117,136918
2600,49950,853492,161862
2700,62475,1045320,136381
2800,59653,985962,148498
2900,60915,1095042,160085
3000,68516,1200541,166275
